상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220813513792,경북여인숙,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110515,중앙동,3011011900,정동,3011011900100010011,1,대지,1,11.0,대전광역시 동구 정동 1-11,301104292401.0,대전광역시 동구 역전시장길,84.0,,3011011900100010011024246,,대전광역시 동구 역전시장길 84,300150,34629,,,,127.434298407971,36.3294782276157
MA010120220813484388,황소모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140700,유천1동,3014011500,유천동,3014011500103300006,1,대지,330,6.0,대전광역시 중구 유천동 330-6,301404295544.0,대전광역시 중구 유천로47번길,99.0,,3014011500103300006026413,,대전광역시 중구 유천로47번길 99,301837,34977,,,,127.392605694523,36.3153853182103
MA010120220813465982,본자리,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110640,용전동,3011011500,용전동,3011011500100640021,1,대지,64,21.0,대전광역시 동구 용전동 64-21,301104292209.0,대전광역시 동구 동서대로1683번길,84.0,,3011011500100640021003053,,대전광역시 동구 동서대로1683번길 84,300824,34549,,,,127.43584540232,36.3528189746839
MA010120220813441824,데미안모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110640,용전동,3011011500,용전동,3011011500100640032,1,대지,64,32.0,대전광역시 동구 용전동 64-32,301104292209.0,대전광역시 동구 동서대로1683번길,94.0,8.0,3011011500100640032002969,,대전광역시 동구 동서대로1683번길 94-8,300824,34549,,,,127.436100676573,36.352955367215
MA010120220813434947,스파타워,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100106940001,1,대지,694,1.0,대전광역시 유성구 봉명동 694-1,302004301285.0,대전광역시 유성구 온천로107번길,40.0,,3020011100106940001013702,,대전광역시 유성구 온천로107번길 40,305301,34186,,,,127.350887670322,36.3558484768933
MA010120220813434842,예지네펜션,,I1,숙박,I101,일반 숙박,I10103,펜션,I55104,민박업,30,대전광역시,30170,서구,30170600,기성동,3017012000,장안동,3017012000101410002,1,대지,141,2.0,대전광역시 서구 장안동 141-2,301703166047.0,대전광역시 서구 장안로,344.0,,3017012000101410002001921,,대전광역시 서구 장안로 344,302040,35428,,,,127.345640786544,36.2277334012271
MA010120220813443283,올림픽파크,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140605,문창동,3014010600,문창동,3014010600100520037,1,대지,52,37.0,대전광역시 중구 문창동 52-37,301404295308.0,대전광역시 중구 문창로90번길,29.0,,3014010600100520037011176,,대전광역시 중구 문창로90번길 29,301809,34930,,,,127.433864011074,36.3217794526793
MA010120220813539037,잉카호텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30230,대덕구,30230546,중리동,3023010900,중리동,3023010900104020018,1,대지,402,18.0,대전광역시 대덕구 중리동 402-18,302304304449.0,대전광역시 대덕구 중리로7번길,22.0,,3023010900104020018018201,,대전광역시 대덕구 중리로7번길 22,306824,34394,,,,127.424072559198,36.3598556528461
MA010120220813644528,더휴식아늑대전용전,,I1,숙박,I101,일반 숙박,I10101,호텔/리조트,I55101,호텔업,30,대전광역시,30110,동구,30110640,용전동,3011011500,용전동,3011011500100760002,1,대지,76,2.0,대전광역시 동구 용전동 76-2,301104292574.0,대전광역시 동구 한밭대로1316번길,2.0,,3011011500100760002003517,,대전광역시 동구 한밭대로1316번길 2,300824,34550,,,,127.440666104237,36.3517691467349
MA010120220813599182,만년모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30230,대덕구,30230546,중리동,3023010900,중리동,3023010900104010015,1,대지,401,15.0,대전광역시 대덕구 중리동 401-15,302304304449.0,대전광역시 대덕구 중리로7번길,6.0,14.0,3023010900104010015014467,,대전광역시 대덕구 중리로7번길 6-14,306824,34394,,,,127.424983240432,36.3602656009962
MA010120220813578901,해와달모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30230,대덕구,30230550,신탄진동,3023012600,신탄진동,3023012600101210016,1,대지,121,16.0,대전광역시 대덕구 신탄진동 121-16,302304304316.0,대전광역시 대덕구 신탄진동로23번길,73.0,,3023012600101210016021461,그린모텔,대전광역시 대덕구 신탄진동로23번길 73,306815,34311,,,,127.430817764373,36.4510396810127
